Customer_ID,Age,Annual_Income,Outstanding_Debt,Total_EMI_per_month,Delay_from_due_date,Num_of_Delayed_Payment,Credit_Utilization_Ratio,Payment_Behaviour,Credit_Mix,Payment_of_Min_Amount,Occupation
3392,23.0,19114.12,809.98,49.57494921489417,3.0,6.0,23.93379480196552,High_spent_Medium_value_payments,Good,No,Scientist
8625,28.0,34847.84,605.03,18.816214573128885,3.0,4.0,32.933856293622235,Low_spent_Small_value_payments,Good,No,Teacher
11708,34.0,143162.64,1303.01,246.9923194537421,8.0,6.0,26.51981539154649,High_spent_Small_value_payments,Good,No,Engineer
47249,55.0,30689.89,632.46,16.415451659824875,4.0,9.0,27.33251492755421,High_spent_Small_value_payments,Good,No,Entrepreneur
7387,21.0,35547.71,943.86,0.0,1.0,15.0,25.86292247432155,High_spent_Small_value_payments,Standard,Yes,Developer
38382,31.0,73928.46,548.2,0.0,8.0,7.0,31.58098966831768,Low_spent_Large_value_payments,Good,No,Lawyer
10314,34.0,131313.4,352.16,911.2201793459374,0.0,2.0,29.18791265416669,Low_spent_Medium_value_payments,Good,No,Lawyer
21511,30.0,34081.38,1704.18,70.47833267207261,30.0,14.0,33.82348834412097,High_spent_Medium_value_payments,Standard,Yes,Media_Manager
16727,24.0,114838.41,1377.74,226.8927919215432,11.0,11.0,27.813353640375272,High_spent_Large_value_payments,Good,No,Doctor
47624,45.0,31370.8,421.43,46.61612907334207,1.0,2.0,37.56505276771999,Low_spent_Small_value_payments,Good,No,Journalist
42603,41.0,33751.27,1328.93,65.00817428651536,16.0,17.0,31.13948358493632,High_spent_Large_value_payments,Standard,Yes,Teacher
49323,33.0,88640.24,950.36,135.17337097171767,4.0,2.0,30.87079911079545,High_spent_Large_value_payments,Good,No,Engineer
15941,36.0,54392.16,179.22,124.39208242092045,10.0,8.0,32.8788050668308,Low_spent_Small_value_payments,Standard,Yes,Entrepreneur
27750,39.0,8701.545,2602.69,36.54819717138717,23.0,9.0,28.815537059010616,Low_spent_Small_value_payments,Standard,NM,Manager
4084,37.0,25546.26,758.44,101.3286373638512,15.0,13.0,25.413616742350907,Low_spent_Medium_value_payments,Standard,Yes,Entrepreneur
13266,31.0,31993.78,818.22,45.14129822463578,8.0,16.0,36.012793772472094,Low_spent_Large_value_payments,Standard,Yes,Scientist
24688,20.0,92047.08,1296.64,0.0,16.0,11.0,27.727646781775498,Low_spent_Large_value_payments,Standard,Yes,Accountant
4059,46.0,32284.62,1283.37,103.03756035536594,13.0,12.0,27.930123710625228,Low_spent_Small_value_payments,Standard,Yes,Teacher
13651,26.0,97791.42,107.41,629.8156531464217,18.0,8.0,33.89444259920451,High_spent_Medium_value_payments,Standard,Yes,Musician
16640,32.0,19300.34,2430.21,49.57206224445275,53.0,19.0,23.70919322410504,Low_spent_Medium_value_payments,Bad,Yes,Entrepreneur
4911,41.0,19514.88,881.4,0.0,26.0,11.0,28.781887776659712,High_spent_Small_value_payments,Standard,No,Musician
41326,42.0,10183.015,1672.43,37.58807283812568,48.0,21.0,36.83702882243363,Low_spent_Small_value_payments,Bad,Yes,Media_Manager
44166,20.0,106733.13,76.23,0.0,7.0,6.0,25.84254793986021,High_spent_Large_value_payments,Good,No,Entrepreneur
23368,32.0,12600.445,569.8,26.060347529205966,25.0,19.0,31.978873515820705,Low_spent_Small_value_payments,Standard,Yes,Lawyer
42489,34.0,57983.12,3532.83,200.43261339470683,48.0,24.0,24.726351303352534,High_spent_Medium_value_payments,Bad,Yes,Mechanic
19779,48.0,20787.69,614.6,42.22199265643221,22.0,14.0,35.344187616472155,High_spent_Large_value_payments,Standard,No,Entrepreneur
47455,30.0,34290.12,2686.81,185.1119825795006,52.0,9.0,36.82064895309465,High_spent_Small_value_payments,Standard,Yes,Writer
16092,32.0,43070.24,1233.1,30.57608482316153,11.0,8.0,26.365699545206407,High_spent_Large_value_payments,Standard,Yes,Accountant
49150,40.0,28572.39,400.07,69.60292048199007,25.0,12.0,23.177617480044173,High_spent_Large_value_payments,Standard,Yes,Architect
46721,38.0,39641.54,2258.73,172.38252735862687,61.0,13.0,34.84904970443735,Low_spent_Large_value_payments,Bad,Yes,Manager
39537,55.0,20186.02,413.32,29.534583720496048,5.0,6.0,33.75820397193409,Low_spent_Medium_value_payments,Good,No,Scientist
24648,44.0,18627.64,1793.54,65.13948777561222,31.0,18.0,23.245481545534325,Low_spent_Small_value_payments,Bad,Yes,Musician
38325,22.0,12986.745,1489.49,16.719300227776053,28.0,17.0,32.25544266260322,Low_spent_Small_value_payments,Standard,Yes,Engineer
16388,44.0,58317.0,98.97,149.89719942100822,22.0,20.0,36.76366452604633,High_spent_Medium_value_payments,Standard,Yes,Writer
45313,37.0,42171.98,556.91,102.7629131170904,4.0,10.0,35.96285294028673,High_spent_Medium_value_payments,Good,No,Scientist
39828,36.0,71681.4,1293.02,53.92351397165268,8.0,8.0,29.37139647559172,Low_spent_Medium_value_payments,Standard,NM,Manager
16512,16.0,29469.98,3421.66,69.68545857227979,53.0,21.0,32.96295024281038,High_spent_Medium_value_payments,Bad,Yes,Mechanic
28778,20.0,72559.36,1173.7,215.83917063897167,15.0,19.0,23.282135114409623,High_spent_Medium_value_payments,Standard,No,Engineer
17068,37.0,15566.02,1693.95,43.07051960231588,17.0,23.0,36.572989910187616,Low_spent_Medium_value_payments,Standard,Yes,Musician
22303,19.0,66567.32,233.79,100.18936089086122,7.0,14.0,28.453785791216827,High_spent_Large_value_payments,Standard,NM,Developer
46591,33.0,12909.895,602.5,0.0,22.0,15.0,23.57985071791125,Low_spent_Medium_value_payments,Standard,No,Media_Manager
27163,33.0,30788.44,3470.08,114.533020898938,49.0,20.0,24.61673534186334,Low_spent_Small_value_payments,Bad,Yes,Accountant
39873,42.0,20574.47,749.95,49.348666321498655,6.0,10.0,28.62902965219592,High_spent_Large_value_payments,Standard,Yes,Architect
3173,22.0,148699.32,949.38,364.9151774048712,16.0,8.0,26.71579704085419,High_spent_Medium_value_payments,Good,No,Lawyer
44763,20.0,85554.03,1095.73,0.0,12.0,7.0,23.91628778322776,High_spent_Large_value_payments,Good,No,Musician
36507,16.0,55829.79,3422.49,314.90178526768176,30.0,19.0,37.865668074107326,Low_spent_Small_value_payments,Bad,Yes,Entrepreneur
24733,27.0,14165.23,2797.17,58.86844083860843,61.0,26.0,35.201445477378066,Low_spent_Small_value_payments,Bad,NM,Architect
30150,30.0,87215.68,680.77,121.68201673654264,2.0,8.0,35.622883365649685,High_spent_Medium_value_payments,Good,NM,Teacher
39740,43.0,81842.28,3053.16,574.0657978713467,20.0,16.0,30.561750479920683,High_spent_Large_value_payments,Bad,NM,Lawyer
8867,38.0,95956.5,1079.73,95.5216287821567,23.0,10.0,24.978573155178623,Low_spent_Large_value_payments,Standard,NM,Doctor
2836,26.0,49967.01,2253.95,156.00331166279182,27.0,11.0,31.52078179699133,High_spent_Medium_value_payments,Standard,Yes,Manager
47494,14.0,39887.22,3119.6,133.47084524343262,57.0,22.0,34.97086572389593,High_spent_Small_value_payments,Bad,NM,Developer
48667,44.0,14129.76,4071.62,70.97506654794734,62.0,18.0,35.66937313879148,High_spent_Medium_value_payments,Bad,NM,Developer
40166,43.0,123732.32,1154.46,0.0,15.0,8.0,26.26810601123289,Low_spent_Medium_value_payments,Good,No,Developer
28667,37.0,17251.38,2431.64,57.35116518894053,3.0,15.0,32.944844211843844,High_spent_Large_value_payments,Standard,Yes,Writer
17173,23.0,36822.29,125.25,95.8007129241996,15.0,19.0,23.33674450597847,Low_spent_Medium_value_payments,Standard,No,Entrepreneur
16219,25.0,80108.31,997.28,0.0,25.0,19.0,28.12327833446457,High_spent_Large_value_payments,Standard,Yes,Doctor
40312,21.0,69977.6,3042.36,485.75043098703753,49.0,18.0,36.25111094816326,Low_spent_Large_value_payments,Bad,NM,Scientist
18395,16.0,78988.48,1746.9,291.78276034215287,27.0,17.0,28.955438083278302,Low_spent_Medium_value_payments,Bad,Yes,Musician
36631,46.0,41746.76,1936.79,102.28339754384292,62.0,21.0,32.94553478945882,High_spent_Large_value_payments,Bad,Yes,Journalist
32011,22.0,19981.6,4834.59,78.41827155188288,54.0,21.0,30.813295101757607,Low_spent_Small_value_payments,Bad,Yes,Media_Manager
